	#Gene_ID	ES2050	ES569	ES2483	ES2162	ES2329	ES2431	ES2160	ES2076	ES568	ES566	ES567	ES2484	ES2341	ES2049
51419	ENSG00000263672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51420	ENSG00000146828	14	10	11	3	17	7	20	2	11	11	7	12	12	4
51421	ENSG00000236305	0	0	0	0	0	0	0	0	0	0	0	1	1	0
51422	ENSG00000087077	122	33	131	76	151	70	78	74	47	114	115	104	164	126
51423	ENSG00000087087	502	233	647	560	521	451	614	171	538	365	360	614	431	284
51424	ENSG00000176125	4	3	8	4	8	7	6	1	6	4	2	3	19	5
51425	ENSG00000087085	91	38	72	53	124	20	92	77	127	143	92	46	179	71
51426	ENSG00000239825	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51427	ENSG00000235926	0	0	0	0	1	0	0	0	0	0	0	0	0	0
51428	ENSG00000169894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51429	ENSG00000228273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51430	ENSG00000169894	6	2	2	1	0	1	1	2	13	6	4	2	2	5
51431	ENSG00000225946	0	0	0	0	4	0	0	1	2	1	0	0	0	0
51432	ENSG00000205277	55	40	90	60	70	30	104	28	76	71	82	37	92	58
51433	ENSG00000227053	14	5	13	20	16	7	15	1	18	8	16	3	27	4
51434	ENSG00000169876	0	0	0	0	1	0	0	0	0	0	0	0	0	0
51435	ENSG00000222636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51436	ENSG00000169871	9	9	7	7	10	9	17	5	3	11	16	12	11	8
51437	ENSG00000260336	1	1	13	8	6	21	12	14	3	11	15	31	15	11
51438	ENSG00000106366	413	3	230	17	50	24	6	38	0	2	18	318	339	227
51439	ENSG00000106367	61	38	109	39	80	55	83	77	121	108	87	85	127	47
51440	ENSG00000264425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51441	ENSG00000128564	8	5	15	5	9	2	7	14	10	6	2	5	12	8
51442	ENSG00000167011	0	0	0	0	0	1	2	8	0	1	0	1	0	0
51443	ENSG00000106384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51444	ENSG00000205267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51445	ENSG00000213394	0	0	0	0	0	0	0	1	0	0	0	1	2	0
51446	ENSG00000106397	330	113	275	132	276	143	188	190	111	100	165	190	479	188
51447	ENSG00000106400	492	226	480	315	700	215	419	387	604	424	323	445	808	447
51448	ENSG00000106404	1	4	0	0	9	13	2	5	13	7	8	13	7	9
51449	ENSG00000214253	641	273	677	339	641	327	474	384	724	439	456	522	955	473
51450	ENSG00000207454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51451	ENSG00000214252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51452	ENSG00000232301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51453	ENSG00000232445	3	8	6	17	11	2	2	3	6	21	15	3	6	1
51454	ENSG00000128581	568	228	574	574	770	447	640	200	580	371	217	548	827	402
