Zebrafish gene name	ZMEL1 - rep1	ZMEL1 - rep2	ZMEL1 - rep3	ZMELR1 - rep1	ZMELR1 - rep2	ZMELR1 - rep3
psenen	9106	7663	10929	8271	10624	7121
psip1	1221	899	1324	1184	1355	479
pskh1	949	843	993	1412	1533	1256
PSKH2	18	19	15	9	21	6
psma1	12680	14197	11055	9007	15491	5110
psma2	15554	10433	15052	11865	11087	4134
psma3	33669	33641	24907	26232	41515	13640
psma4	18050	17514	12603	12029	18025	5410
psma5	22845	15153	22174	13790	13915	5235
psma6a	11226	10962	8848	9490	13473	3659
psma6b	12670	8063	10113	11138	10765	3768
psma6l	506	406	1572	424	473	944
psma8	26963	27439	27195	23853	33341	11168
psmb1	27374	27662	22640	25607	37007	11922
psmb10	4	1	0	0	0	0
PSMB10	37	33	50	61	47	36
psmb11	0	0	0	0	0	0
psmb2	24963	28575	22633	19116	34023	11783
psmb3	36413	24727	31046	22803	23345	8104
psmb4	45873	49810	42531	34060	57423	18777
psmb5	20819	23455	16697	14707	25755	8630
psmb6	31935	23541	29462	20754	23692	8647
psmb7	21934	29471	16463	16897	33451	9379
psmb8	0	0	0	0	0	0
psmb9a	0	0	0	0	0	0
psmc1a	12433	14201	11179	10426	17897	5262
psmc1b	7252	8182	6499	6563	11106	3390
psmc2	12366	12959	11272	8805	13829	4631
psmc3	10422	11605	11742	8782	14160	4814
psmc3ip	553	525	427	210	346	63
psmc4	25588	21677	24806	19284	24878	9646
psmc5	18457	15917	16391	14233	17722	6193
psmc6	8206	11004	8262	6460	13128	4019
psmd1	20740	28326	19709	14364	28029	9574
psmd10	4836	3863	4213	2645	3225	999
psmd11a	5927	6932	5751	4365	7838	3248
psmd11b	6179	7945	5585	3978	7683	2214
psmd12	22130	16682	24074	19123	20483	7327
psmd13	19220	16622	15903	15084	18911	6738
psmd14	11592	9375	11771	8993	11343	3759
psmd2	9132	12865	9716	6731	13637	5078
psmd3	33990	47254	32161	25262	49816	15128
psmd4a	18328	14256	21751	16510	20135	7402
psmd4b	12328	10955	10073	11450	15249	5620
psmd5	4299	4398	4605	3914	5918	2077
psmd6	10776	12540	8920	7823	14968	4333
psmd7	17123	17244	16582	12581	18338	6914
psmd8	44778	29400	42194	30056	30586	12372
psmd9	2942	2833	3043	2971	3384	1362
psme1	12461	10128	20756	10647	12345	9511
psme2	2535	2052	4656	2138	2396	1961
psme3	7872	8642	8432	4425	7796	3036
psme4a	26	82	45	60	133	43
psme4b	3771	6406	5442	3843	7673	3664
psmf1	2205	2255	4787	2179	2972	2518
psmg1	4449	3501	5509	4988	5394	4906
psmg2	12958	10094	16234	9884	11101	4494
psmg3	3281	2004	3272	2181	1927	1081
PSMG4	2202	1788	2022	1897	2613	1120
pspc1	1606	1625	1477	1484	2157	602
psph	2310	2831	1897	941	1532	800
pstpip1a	1265	1317	3093	1228	1639	2027
pstpip1b	1	1	0	0	1	0
PTAFR	2	3	1	26	35	8
ptar1	602	809	679	656	1068	385
ptbp1a	7521	9454	11451	7865	13808	4717
ptbp1b	4899	6895	6434	5020	8757	4060
ptbp2a	2171	2783	2589	2804	4748	2189
ptbp2b	588	747	1125	526	810	657
ptbp3	2220	3178	2344	4444	6729	3455
ptcd1	1206	1508	1262	1059	1748	815
ptcd2	407	349	601	515	494	280
ptcd3	5192	6477	5164	2796	5012	1786
ptch1	662	1160	714	1064	1867	483
ptch2	272	405	319	534	675	448
ptchd1	17	32	11	8	1	4
PTCHD2	4	11	15	1	3	2
ptchd4	1	1	2	2	3	2
ptdss1a	1999	2379	2312	1467	2568	1273
ptdss1b	22	24	21	14	28	3
ptdss2	2860	4124	2621	1900	3534	1257
ptena	4781	5604	4456	5361	8843	4208
ptenb	1627	2639	2358	1487	3163	1212
pter	1631	1936	930	1528	2722	256
ptf1a	1	0	1	0	1	0
ptgdsa	0	0	0	3	4	1
ptgdsb	12	0	5	13	14	4
ptger1a	1	2	1	2	2	6
ptger1b	1	2	5	5	4	4
ptger1c	1	2	0	10	9	0
ptger2a	1	2	3	0	2	1
ptger2b	19	18	31	12	20	15
ptger3	4	9	12	6	6	1
ptger4a	1	2	1	1	1	0
ptger4b	2	7	2	0	6	0
ptger4c	1	0	0	0	0	0
ptges	1	2	3	0	0	0
ptges3a	32458	23830	40006	24285	24944	12588
ptges3b	13395	10863	20784	7674	9404	5154
PTGES3L	8	15	14	7	10	6
ptgesl	3470	3432	3435	2532	3633	1123
ptgfr	0	0	0	0	0	0
ptgir	1	2	6	0	0	1
ptgis	1	1	0	5	1	1
ptgr1	10648	9241	8274	7579	9241	3602
PTGR2	1211	839	1781	2042	1706	925
ptgs1	4	5	7	18	21	58
ptgs2a	2	3	5	53	74	38
ptgs2b	744	795	1738	1472	2154	3443
pth1a	11	6	12	10	6	8
pth1b	0	0	0	1	1	0
pth1ra	8	46	29	9	27	10
pth1rb	19	7	28	5	4	7
pth2	0	0	0	0	1	2
pth2r	5	1	2	2	0	1
pthlha	2	1	6	2	3	1
pthlhb	0	0	0	0	0	0
ptk2.1	584	772	579	947	1627	336
ptk2.2	2652	5583	4426	3793	8111	3760
ptk2ba	1363	2252	1065	221	565	108
ptk2bb	31	38	16	5	8	4
ptk6a	0	0	0	5	0	0
ptk6b	0	1	0	0	2	0
ptk7a	2123	3461	2738	1419	2646	985
ptk7b	75	136	143	94	184	106
ptmaa	7952	4892	5378	8865	8669	1687
ptmab	103235	78309	93097	66875	82625	28238
ptn	17	26	58	19	25	4
ptp4a1	13864	15681	16964	12748	21679	9342
ptp4a2a	7894	7741	8021	8424	11843	4333
ptp4a2b	17695	21805	19497	13776	24392	11570
ptp4a3	8155	8957	7986	6549	10515	3620
PTP4A3	1334	1424	2113	1171	1979	1194
ptpdc1	403	499	422	382	595	358
PTPLA	1248	1200	1389	923	1355	560
ptplad1	2570	2285	2992	2324	2886	1067
ptplb	2327	2469	2373	1954	3185	1237
ptpmt1	1077	634	1128	1068	900	561
ptpn1	2679	3825	3188	1916	3736	1593
ptpn11a	2926	4030	2884	3476	6216	2746
ptpn11b	414	698	837	326	744	67
ptpn13	3685	6774	5524	4409	7724	3859
ptpn18	4	9	4	2	3	1
ptpn20	49	82	78	90	181	60
ptpn21	1175	3069	2552	3157	5565	3490
ptpn22	0	1	3	4	2	6
ptpn23a	2892	4729	4720	3585	6192	3584
ptpn23b	1771	2463	1919	3017	4035	2803
ptpn2a	662	440	528	967	854	542
ptpn2b	4207	4684	5622	4538	6775	4075
ptpn3	42	44	80	185	228	295
ptpn4a	828	1248	1145	836	1436	976
ptpn4b	440	653	259	305	532	51
ptpn5	5	8	4	29	71	8
ptpn6	10	15	24	9	15	16
ptpn9a	2296	3565	2224	2615	4822	1630
ptpn9b	458	731	656	547	1078	485
ptpra	5699	8937	9543	8271	14909	6490
ptprb	152	152	129	79	128	12
ptprc	16	21	34	20	39	22
ptprda	17	40	8	89	215	9
ptprdb	6	21	17	25	36	15
ptprea	17061	21911	26242	26031	45790	14922
ptpreb	14	16	21	15	20	15
ptprfa	224	313	139	105	107	34
ptprfb	2732	5052	3384	1927	3925	1355
ptprga	963	1384	958	1117	2066	532
ptprh	15	20	73	7	17	24
ptprja	2	4	12	3	4	4
ptprjb	78	91	19	17	7	3
ptprk	297	504	231	165	321	48
ptprmb	16	23	13	1	13	7
ptprn2	6	5	5	9	16	4
ptprna	30	64	40	39	56	58
ptprnb	4	3	2	4	9	7
ptpro	2658	3959	2028	1593	3693	465
ptprq	572	1261	1065	967	1749	811
PTPRR	1	1	1	4	2	1
ptprsa	146	466	231	187	380	217
ptprsb	358	345	445	392	492	406
ptprt	14	9	21	23	36	24
ptprua	12	20	11	26	52	88
ptprub	24	61	69	66	132	29
ptprz1a	12	22	35	35	51	7
ptprz1b	42	74	71	49	109	39
ptrfa	2	2	1	4	6	9
ptrfb	19833	31659	26990	38858	77603	22050
ptrh1	820	816	1207	630	1060	732
ptrh2	2077	1821	2218	1334	1788	836
ptrhd1	1558	1527	1150	930	1675	580
PTS	231	305	322	332	565	248
pttg1	5	6	7	11	4	0
pttg1ipa	0	0	1	0	0	0
pttg1ipb	15622	7624	16111	13444	9247	7896
ptx3a	56	133	422	6	11	157
ptx3b	20	16	11	101	96	17
ptx4	1	3	3	7	2	4
puf60a	8644	10117	9246	7771	12934	5243
puf60b	7291	8485	7645	6301	10657	4182
pum1	11481	18012	15774	12480	22869	11654
pum2	309	891	974	681	1389	773
pura	1240	1666	1132	1162	2017	865
purba	1779	2539	1830	1974	3656	1089
purbb	987	2016	1830	1059	2603	870
purg	4	3	4	5	6	0
pus1	2675	2666	3244	2215	3408	1771
pus10	1059	1482	1134	725	1499	657
pus3	1269	1478	1598	995	1783	750
pus7	2535	3538	1957	1436	2745	1401
pus7l	213	197	296	244	273	179
PUSL1	515	445	497	459	564	187
pvalb1	0	0	0	0	0	0
pvalb2	1	1	1	0	0	0
pvalb3	0	0	0	1	0	1
pvalb4	0	0	0	0	0	0
pvalb5	0	0	4	0	1	0
pvalb6	286	653	137	52	146	3
pvalb7	1	2	3	3	3	3
pvalb8	0	0	0	0	0	1
pvalb9	0	0	0	0	0	0
pvrl1a	53	71	101	65	100	133
pvrl1b	437	968	807	568	1146	600
pvrl2l	28	71	67	29	49	48
pvrl3b	4	12	15	7	22	7
pvrl4	15	28	28	14	17	9
pwp1	3390	4374	3843	2315	4299	2132
pwp2h	5666	6971	7075	3773	7477	3111
PWWP2A	3161	4854	2991	2418	4238	1608
pwwp2b	1486	1898	1672	1656	2599	1587
pxdc1a	4	3	5	2	1	3
pxdc1b	511	400	906	1112	1029	2314
pxk	2597	2754	4220	4656	5277	5613
pxmp2	997	974	1472	1141	1317	831
PXMP4	604	769	481	525	991	200
pxna	27	36	36	40	65	34
pycard	42	17	19	49	30	15
pycr1a	1265	1413	1145	2846	4515	1389
pycr1b	3817	5977	3403	2315	5019	1577
pycrl	304	606	462	364	884	288
pygb	1972	2539	1784	3562	5540	1445
pygl	0	7	4	2	3	4
pygma	811	1323	218	3	8	5
pygmb	157	192	318	188	292	460
pygo1	9	22	75	37	44	51
pygo2	5774	7553	7062	4909	8788	3367
pyroxd2	21	16	40	579	930	442
PYURF	157	128	145	147	129	73
pyya	0	0	0	0	1	0
pyyb	0	0	0	0	0	1
qars	13772	18767	15132	7768	16589	5352
qdpra	19468	22591	29988	7046	10940	3043
qdprb1	1042	1192	891	998	1633	696
qdprb2	0	0	0	0	0	0
qki2	605	1074	866	832	1597	890
qkia	1082	2029	1792	1298	2862	1018
qkib	288	899	619	592	1585	404
qpct	2033	2396	2233	1827	3039	1179
qpctla	3561	4434	3408	2031	3746	2686
qpctlb	1	0	0	0	1	0
qrfpra	0	0	2	1	0	0
qrich1	2043	2813	2187	1891	3510	1149
qrsl1	921	1108	846	1027	1472	549
qser1	2497	3544	3082	3290	5376	2319
qsox1	2186	2073	2419	2380	3177	2333
QSOX2	789	1371	1304	780	1650	673
qtrt1	1290	1625	1140	816	1608	645
qtrtd1	1836	2036	1903	1393	2283	899
quo	41	63	28	104	154	10
r3hcc1	287	319	261	318	433	95
r3hcc1l	1687	2118	1878	1640	2695	1066
r3hdm1	2366	3854	3097	2521	4633	2803
r3hdm4	599	848	932	657	1227	465
r3hdml	1	2	5	4	4	3
rab10	16633	20545	15947	10680	18164	9760
rab11a	14133	17113	15432	15751	25947	12012
rab11al	89	153	158	113	206	166
rab11ba	4261	4252	4008	5462	7663	3006
rab11bb	590	640	643	534	839	295
rab11fip1a	241	360	323	272	399	182
rab11fip1b	571	802	455	879	1367	426
rab11fip3	962	1752	1361	1605	2852	699
rab11fip4a	4	16	10	11	33	7
rab11fip4b	11	18	30	29	39	7
rab11fip5a	31	65	63	29	80	4
rab12	1245	1641	1090	871	1751	663
rab13	519	313	1036	595	379	871
rab14	1778	1948	2569	2281	3465	1729
rab14l	421	644	821	554	1078	528
rab15	216	219	176	386	513	60
rab18a	1747	1270	1707	1969	2087	1010
rab18b	7115	5555	7391	7244	7957	4024
RAB19	7	10	8	9	14	6
rab1a	8578	9802	10746	9272	15160	9824
rab1ba	3519	3907	3582	4231	6186	2607
rab1bb	1535	1144	1699	1059	1291	342
